# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	352855
#@/user_id	5ccb50a0-6ba1-4de8-9045-d7436d20e87a
a 	啊	c=5862 d=5.05529 t=352657
na ke bu ke yi 	那可不可以	c=1 d=1 t=66544
na ke neng 	那可能	c=14 d=1 t=335758
na ke neng shi 	哪可能是	c=2 d=1.92312 t=20284
na ke neng shi 	那可能是	c=1 d=1 t=20758
na ke shi 	那可是	c=2 d=1.0017 t=118297
na ke yi 	那可以	c=11 d=1 t=318687
na ken di gen 	那墾地跟	c=1 d=1 t=9064
na ken ding 	那肯定	c=4 d=0.1 t=182714
na ken ding shi 	那肯定是	c=3 d=1 t=227343
na kong pa 	那恐怕	c=1 d=1 t=167898
na kuai 	哪快	c=2 d=1 t=272514
na kuai 	那塊	c=20 d=1 t=304591
na kuai qu 	那快去	c=1 d=1 t=11489
na kuan 	哪款	c=2 d=1 t=125382
na lai 	哪來	c=13 d=1 t=351584
na lai 	拿來	c=3 d=1 t=212574
na le 	拿了	c=9 d=0.1 t=277451
na le yi ge 	拿了一個	c=1 d=1 t=4073
na lei 	哪類	c=1 d=1 t=173970
na lei 	那類	c=1 d=1 t=112466
na li 	哪裏	c=45 d=1 t=298964
na li mian 	那裏面	c=1 d=1 t=123985
na li shi 	哪裏是	c=1 d=1 t=72272
na lia 	那倆	c=1 d=1 t=257199
na ma fan 	那麻煩	c=3 d=1 t=150221
na man fa 	那慢發	c=1 d=1 t=204513
na me 	那麼	c=193 d=1.02312 t=350431
na me chang 	那麼長	c=1 d=1 t=220882
na me da 	那麼大	c=1 d=1 t=92813
na me dian 	那麼點	c=1 d=1 t=328272
na me duo 	那麼多	c=21 d=1.00098 t=325500
na me ji jia 	那麼幾家	c=1 d=1 t=151483
na me kuai 	那麼快	c=1 d=1 t=350432
na me rong yi 	那麼容易	c=1 d=1 t=107364
na me yuan 	那麼遠	c=1 d=1 t=199677
na mei 	那沒	c=2 d=1 t=290478
na mei ban fa 	那沒辦法	c=1 d=1 t=71939
na mei shi 	那沒事	c=2 d=1 t=307799
na men 	納悶	c=1 d=1 t=206968
na ming bai 	那明白	c=1 d=1 t=298767
na ming tian 	那明天	c=6 d=1 t=320046
na mo 	南無	c=1 d=1 t=209381
na mu qian 	那目前	c=1 d=1 t=247295
na neng 	哪能	c=1 d=1 t=158968
na neng 	那能	c=10 d=1 t=299128
na neng bu neng 	那能不能	c=1 d=1 t=237885
na neng gei 	那能給	c=1 d=1 t=244612
na ni 	納尼	c=39 d=1 t=328433
na ni 	那你	c=3 d=1 t=267899
na ni dei 	那你得	c=1 d=1 t=109166
na ni ke yi 	那你可以	c=1 d=1 t=98599
na ni men 	那你們	c=1 d=1 t=201909
na ni shang 	納尼上	c=1 d=1 t=295094
na ni yao shi 	那你要是	c=1 d=1 t=307183
na nian 	哪年	c=1 d=1 t=165804
na nian 	那年	c=3 d=1.00183 t=165803
na nin 	那您	c=5 d=1 t=329651
na ou 	那藕	c=1 d=1 t=88228
na pa 	哪怕	c=6 d=1 t=334232
na pa shi 	哪怕是	c=1 d=1 t=38116
na pai 	那派	c=2 d=1.99501 t=114900
na pi 	那批	c=2 d=1 t=244096
na ping chang 	那平常	c=1 d=1 t=202137
na qi bu shi 	那豈不是	c=1 d=1 t=298026
na qi shi 	那其實	c=4 d=1 t=326565
na qu 	拿去	c=1 d=1 t=84635
na qu 	那曲	c=1 d=1 t=279164
na que ding 	那確定	c=1 d=1 t=294424
na que shi 	那確實	c=5 d=1 t=338457
na rang 	那讓	c=2 d=1 t=201765
na rang duan you 	那讓段友	c=1 d=1 t=53715
na ren 	那人	c=1 d=1 t=238641
na ren yuan 	那人員	c=1 d=1 t=32174
na ru guo 	那如果	c=38 d=1 t=352283
na ru guo shi 	那如果是	c=4 d=1 t=231154
na ru guo wo 	那如果我	c=1 d=1 t=237988
na san tai 	那三臺	c=1 d=1 t=243687
na shang 	拿上	c=3 d=1 t=311516
na shang biao 	那商標	c=1 d=1 t=128037
na shang mian 	那上面	c=1 d=1 t=153565
na she ji 	那設計	c=1 d=1 t=258751
na shei 	那誰	c=1 d=1 t=60637
na shi 	那是	c=86 d=1 t=352265
na shi bu shi 	那是不是	c=13 d=1 t=329635
na shi cong 	那是從	c=1 d=1 t=105962
na shi ge 	那是個	c=1 d=1 t=35469
na shi hou 	那時候	c=15 d=1.96079 t=351191
na shi qu 	那是去	c=1 d=1 t=61176
na shuo 	那說	c=1 d=1 t=150219
na suan 	那算	c=7 d=1.46767 t=303921
na ta 	那她	c=2 d=1 t=284857
na tai 	哪臺	c=3 d=1 t=325881
na tai 	那臺	c=17 d=1.00085 t=303836
na tai duo 	那太多	c=1 d=1 t=115988
na tian 	哪天	c=28 d=1.98511 t=345125
na tian 	那天	c=6 d=1 t=338547
na tian jia 	那添加	c=1 d=1 t=171331
na tiao 	哪條	c=1 d=1 t=231430
na tiao 	那條	c=3 d=1 t=306514
na tie ding 	那鐵定	c=1 d=1 t=289232
na ting hao 	那挺好	c=9 d=1 t=345452
na tong yang 	那同樣	c=1 d=1 t=313344
na wan 	那晚	c=1 d=1 t=278579
na wan shang 	那晚上	c=4 d=0.1 t=118805
na wan shang bie wang le 	那晚上別忘了	c=1 d=1 t=118806
na wan yi er 	那玩意兒	c=1 d=1 t=199947
na wei 	哪位	c=3 d=1 t=189187
na wei shen me 	那爲什麼	c=2 d=1 t=220711
na wen ti 	那問題	c=1 d=1 t=312822
na wo 	哪我	c=1 d=1 t=6573
na wo 	那我	c=244 d=1 t=352740
na wo en 	那沃恩	c=1 d=1 t=27777
na wo gei 	那我給	c=1 d=1 t=89523
na wo gei ni 	那我給你	c=1 d=1 t=112988
na wo gu ji 	那我估計	c=1 d=1 t=207856
na wo hai shi 	那我還是	c=1 d=1 t=275635
na wo jiu 	那我就	c=2 d=1 t=165740
na wo ke 	那我可	c=1 d=1 t=325149
na wo me 	那我麼	c=1 d=1 t=346046
na wo men 	那我們	c=28 d=1 t=350035
na wo qu 	那我去	c=1 d=1 t=276815
na wo rang 	那我讓	c=1 d=1 t=250937
na wo rang ta 	那我讓他	c=2 d=1 t=296312
na wo xian 	那我先	c=2 d=1 t=272141
na wo xie hao 	那我寫好	c=1 d=1 t=35996
na wo ye 	那我也	c=1 d=1 t=207143
na wo ye mei 	那我也沒	c=1 d=1 t=309597
na wo zai 	那我再	c=1 d=1 t=37845
na wo zhou mo 	那我週末	c=1 d=1 t=285602
na wu shi 	那武士	c=1 d=1 t=127258
na xi 	納西	c=0 d=0.1 t=30699
na xia 	拿下	c=1 d=1 t=142971
na xia ban 	那下班	c=3 d=1 t=330209
na xia ge yue 	那下個月	c=1 d=1 t=21243
na xia wu 	那下午	c=1 d=1 t=78112
na xia zhou 	那下週	c=1 d=1 t=147541
na xian 	納獻	c=7 d=1 t=302256
na xian qu 	那先去	c=1 d=1 t=206525
na xian zai 	哪現在	c=4 d=1 t=123047
na xiang 	哪像	c=1 d=1 t=164517
na xiao ming 	那小明	c=1 d=1 t=327588
na xie 	哪些	c=127 d=1 t=341733
na xie 	那些	c=50 d=1.03976 t=335441
na xie ren 	那些人	c=1 d=1 t=283357
na xie shi 	哪些是	c=1 d=1 t=295463
na xin 	納新	c=3 d=2.83244 t=123443
na xing 	那行	c=10 d=1 t=352104
na xu yao 	那需要	c=1 d=1 t=309094
na yang 	哪樣	c=1 d=1 t=63062
na yang 	那樣	c=12 d=1 t=278941
na yao 	那要	c=7 d=1 t=351287
na yao bu 	那要不	c=10 d=1 t=274948
na yao bu yao 	那要不要	c=1 d=1 t=77244
na yao rang wo 	那要讓我	c=1 d=1 t=267967
na yao shi 	那要是	c=8 d=1 t=352075
na ye 	那也	c=32 d=0.1 t=352639
na ye bie 	那也別	c=1 d=1 t=172266
na ye bu 	那也不	c=1 d=1 t=118041
na ye bu neng 	那也不能	c=2 d=1 t=120811
na ye bu shi 	那也不是	c=1 d=1 t=92579
na ye bu xing 	那也不行	c=1 d=1 t=174175
na ye bu yi ding 	那也不一定	c=1 d=1 t=92981
na ye bu zhi yu 	那也不至於	c=1 d=1 t=186865
na ye de 	那也得	c=1 d=1 t=347384
na ye dei 	那也得	c=21 d=1 t=350119
na ye dei shi 	那也得是	c=1 d=1 t=319289
na ye ji 	那業績	c=1 d=1 t=265685
na ye jiu shi 	那也就是	c=3 d=1 t=111626
na ye mei 	那也沒	c=2 d=1 t=350425
na ye ni 	那也你	c=1 d=1 t=352640
na ye shi 	那也是	c=11 d=1.44486 t=313173
na ye xiang 	那也想	c=1 d=1 t=5370
na ye xing 	那也行	c=1 d=1 t=87902
na yi 	那一	c=0 d=0.1 t=6529
na yi ge 	哪一個	c=1 d=1 t=181596
na yi hou 	那一厚	c=1 d=1 t=6530
na yi kuai 	那一塊	c=1 d=1 t=11510
na yi shi 	那意識	c=1 d=1 t=157423
na yi si 	那意思	c=9 d=1 t=349764
na ying ga 	那瑩噶	c=1 d=1 t=92598
na ying gai 	那應該	c=9 d=1 t=339527
na ying gai shi 	那應該是	c=1 d=1 t=198828
na yong 	納雍	c=1 d=1 t=112995
na yong 	那用	c=1 d=1 t=112996
na you 	哪有	c=77 d=1 t=350431
na you 	那有	c=4 d=1.22537 t=206556
na you ke neng shi 	哪有可能是	c=1 d=1 t=52986
na you mei you 	那有沒有	c=1 d=1 t=203849
na you shang jiao 	那右上角	c=1 d=1 t=171234
na yu ming 	那域名	c=1 d=1 t=128031
na yue 	那約	c=1 d=1 t=230678
na za ban 	那咋辦	c=2 d=1 t=150220
na zai 	那在	c=1 d=0.1 t=167990
na zan 	那咱	c=1 d=1 t=176846
na zan men 	那咱們	c=1 d=1 t=235552
na zen me 	那怎麼	c=11 d=1 t=286483
na zhao 	那找	c=1 d=1 t=157092
na zhe 	拿着	c=24 d=1 t=351957
na zhe 	那這	c=3 d=1 t=317831
na zhe ci 	那這次	c=2 d=1 t=118699
na zhe ge 	那這個	c=17 d=1.00005 t=308332
na zhe ge biao 	那這個表	c=1 d=1 t=61075
na zhe jiu 	那這就	c=1 d=1 t=76109
na zhe kuai 	那這塊	c=2 d=1 t=290592
na zhe lia 	那這倆	c=1 d=1 t=137653
na zhe me 	那這麼	c=1 d=1 t=195112
na zhe xie 	那這些	c=2 d=1 t=225414
na zhe yang 	那這樣	c=3 d=1 t=316909
na zhe yang ba 	那這樣吧	c=1 d=1 t=242923
na zhe zhou 	那這周	c=1 d=1 t=148528
na zhen 	那真	c=2 d=1 t=161128
na zhen shi 	那真是	c=1 d=1 t=10941
na zheng hao 	那正好	c=1 d=1 t=344775
na zhi 	那隻	c=1 d=1 t=301322
na zhi neng 	那只能	c=1 d=1 t=87233
na zhi qian 	那之前	c=4 d=1 t=350165
na zhi shao 	那至少	c=1 d=1 t=206439
na zhi shi 	那只是	c=1 d=1 t=29311
na zhong 	哪種	c=20 d=1 t=346214
na zhong 	那種	c=83 d=1 t=350542
na zhong wu 	那中午	c=1 d=1 t=209147
na zhong ying gai shi 	那種應該是	c=1 d=1 t=324598
na zhun bei 	那準備	c=2 d=1 t=148310
na zou 	拿走	c=8 d=1 t=322117
na zui hao 	那最好	c=3 d=1 t=290802
na zui hao shi 	那最好是	c=1 d=1 t=272560
nai 	奈	c=1 d=1 t=214058
nai 	奶	c=9 d=1 t=347306
nai ban 	奶辦	c=1 d=1 t=304642
nai bian 	奶邊	c=1 d=1 t=304549
nai cha 	奶茶	c=9 d=1 t=254584
nai dai 	褦襶	c=1 d=1 t=214
nai fen 	奶粉	c=3 d=1 t=218201
nai he 	奈何	c=1 d=1 t=281397
nai jiu 	耐久	c=1 d=1 t=154737
nai nai 	奶奶	c=1 d=1 t=87918
nai pao 	奶跑	c=1 d=1 t=261466
nai xin 	耐心	c=1 d=1 t=100600
nan 	南	c=24 d=1 t=349905
nan 	男	c=11 d=1 t=337027
nan 	難	c=74 d=1.96628 t=351560
nan bao 	難保	c=1 d=1 t=348949
nan bian 	南邊	c=13 d=1 t=250753
nan bu cheng 	難不成	c=1 d=1 t=199650
nan cheng 	南城	c=3 d=1 t=170423
nan cheng xiang 	南城香	c=4 d=1 t=73244
nan chi 	難吃	c=2 d=1 t=156232
nan chu 	難處	c=1 d=1 t=244832
nan dai 	難帶	c=1 d=1 t=301050
nan dan 	南丹	c=75 d=1 t=350859
nan dao 	難道	c=21 d=1.27527 t=348437
nan dao shi 	難道是	c=8 d=1 t=345194
nan dao shuo 	難道說	c=1 d=1 t=282057
nan de 	男的	c=1 d=1 t=117554
nan de 	難得	c=7 d=1 t=191644
nan dong 	難懂	c=1 d=1 t=272520
nan du 	難度	c=42 d=1 t=335434
nan fang 	南方	c=5 d=1 t=176647
nan feng 	南風	c=1 d=1 t=5595
nan guai 	難怪	c=1 d=1 t=347343
nan guan 	難關	c=2 d=1 t=90703
nan guo 	難過	c=2 d=1 t=171176
nan guo le 	難過了	c=1 d=1 t=11908
nan hai 	男孩	c=1 d=0.1 t=151971
nan he 	難喝	c=1 d=1 t=169908
nan ji 	南極	c=1 d=1 t=320717
nan jing 	南京	c=7 d=1 t=329244
nan kai fa 	難開發	c=1 d=1 t=221458
nan ke 	南柯	c=9 d=1 t=85989
nan kun nan 	難困難	c=1 d=1 t=284855
nan liao 	難聊	c=1 d=1 t=9405
nan lu 	南路	c=8 d=1 t=198784
nan mian 	難免	c=3 d=1 t=60369
nan ning 	南寧	c=1 d=1 t=326280
nan nv 	男女	c=1 d=1 t=212771
nan ren 	男人	c=1 d=1 t=52310
nan shan 	南山	c=4 d=1 t=102251
nan sheng 	男生	c=38 d=1 t=350228
nan shi 	南石	c=3 d=1.11136 t=338852
nan shou 	難受	c=33 d=1 t=343765
nan shou le 	難受了	c=1 d=0.1 t=43211
nan shou le ma 	難受了嗎	c=1 d=1 t=43212
nan ti 	難題	c=0 d=0.1 t=18690
nan wei ni 	難爲你	c=1 d=1 t=193494
nan wu 	南無	c=0 d=0.1 t=97286
nan xing 	南星	c=4 d=1 t=276628
nan xing 	男性	c=1 d=1 t=11110
nan yi 	難以	c=3 d=1 t=169369
nao 	撓	c=1 d=1 t=156983
nao 	腦	c=3 d=1 t=311198
nao 	鬧	c=18 d=1 t=348931
nao can 	腦殘	c=1 d=1 t=203332
nao da 	鬧大	c=1 d=1 t=111503
nao dai 	腦袋	c=7 d=1 t=218213
nao gua 	腦瓜	c=1 d=1 t=58108
nao gua zi 	腦瓜子	c=0 d=0.1 t=224610
nao hua 	腦花	c=2 d=1.79852 t=86495
nao men 	腦門	c=1 d=1 t=238116
nao nao 	鬧鬧	c=1 d=1 t=348933
nao shi 	鬧事	c=2 d=1 t=348923
nao xin 	鬧心	c=3 d=1 t=243336
nao zhang 	腦脹	c=1 d=1 t=263321
nao zhe 	鬧着	c=1 d=1 t=178937
nao zhong 	鬧鐘	c=4 d=1 t=208417
nao zi 	腦子	c=32 d=1 t=317138
nao zi ai 	腦子哎	c=1 d=1 t=54727
nao zi en me 	腦子恩麼	c=1 d=1 t=75904
ne 	呢	c=1485 d=3.3807 t=352771
ne a 	呢啊	c=2 d=1 t=74938
ne ba 	呢吧	c=1 d=1 t=319519
ne en 	呢嗯	c=8 d=1 t=343324
ne ge 	呢個	c=0 d=0.1 t=250828
ne ne 	呢呢	c=5 d=1 t=347884
ne ri o na ge 	呢日哦哪個	c=1 d=1 t=308796
nei 	內	c=34 d=1 t=351741
nei bu 	內部	c=94 d=1.00795 t=348362
nei bu de 	內部的	c=1 d=1 t=173328
nei bu ren 	內部人	c=1 d=1 t=109434
nei bu yong 	內部用	c=1 d=1 t=277714
nei ce 	內測	c=2 d=1 t=194872
nei cun 	內存	c=16 d=1 t=349466
nei ding 	內定	c=1 d=1 t=167391
nei dou 	內鬥	c=1 d=1 t=112325
nei fong 	內甮	c=1 d=1 t=31306
nei hang 	內行	c=1 d=1 t=290959
nei jiu 	內疚	c=1 d=1 t=29760
nei juan 	內卷	c=2 d=1.99005 t=277092
nei ku 	內褲	c=1 d=1 t=185850
nei meng 	內蒙	c=1 d=1 t=110602
nei mu 	內幕	c=1 d=0.1 t=302187
nei qian 	內嵌	c=2 d=1 t=36982
nei rong 	內容	c=130 d=1 t=352828
nei rong ge 	內容個	c=1 d=1 t=67134
nei rong le 	內容了	c=1 d=1 t=156781
nei rong shang 	內容上	c=2 d=1.44043 t=31282
nei rong shi 	內容是	c=7 d=1 t=308447
nei shen 	內審	c=2 d=1 t=292093
nei shi 	內飾	c=1 d=1 t=69747
nei tong 	內通	c=1 d=1 t=301792
nei tui 	內退	c=1 d=1 t=13391
nei wang 	內網	c=8 d=1.99005 t=315971
nei yi 	內衣	c=2 d=1 t=237794
nei yi fa zhan 	內衣發展	c=1 d=1 t=22180
nei zai 	內在	c=1 d=1 t=137051
nei zhan 	內戰	c=0 d=0.1 t=304591
nei zhi 	內置	c=6 d=1 t=351731
nei zhi 	內酯	c=1 d=1 t=244206
nei zhi guo lv qi 	內置過濾器	c=1 d=1 t=307133
nei zhong 	那種	c=1 d=1 t=111645
nen 	嫩	c=6 d=1 t=208571
nen bai 	嫩白	c=0 d=0.1 t=75900
nen nen 	嫩嫩	c=0 d=0.1 t=12442
neng 	能	c=1319 d=2.10447 t=352816
neng ba 	能把	c=20 d=1.00041 t=321909
neng ban 	能辦	c=1 d=1 t=59496
neng bang 	能幫	c=1 d=0.1 t=63203
neng bang man 	能幫慢	c=1 d=1 t=63204
neng bang mang 	能幫忙	c=1 d=1 t=231132
neng bang wo 	能幫我	c=4 d=1 t=287872
neng bi 	能比	c=0 d=0.1 t=326044
neng bi zhe 	能比這	c=1 d=1 t=326045
neng bu 	能不	c=4 d=1 t=281136
neng bu chu men 	能不出門	c=1 d=1 t=37814
neng bu en na ge 	能不嗯那個	c=2 d=1 t=313862
neng bu eng ne 	能不嗯呢	c=5 d=1 t=274918
neng bu lai 	能不來	c=1 d=1 t=164456
neng bu neng 	能不能	c=102 d=1 t=349976
neng bu neng gai 	能不能改	c=1 d=1 t=299115
neng bu neng lai 	能不能來	c=1 d=1 t=265978
neng bu neng xing 	能不能行	c=1 d=1 t=251002
neng bu neng yong 	能不能用	c=1 d=1 t=113853
neng bu neng zou wan 	能不能走完	c=1 d=1 t=292168
neng cha dao 	能查到	c=3 d=1 t=287554
neng cheng jiao 	能成交	c=1 d=1 t=250542
neng chi 	能吃	c=0 d=0.1 t=16412
neng chu 	能出	c=3 d=1.9802 t=298554
neng chu lai 	能出來	c=1 d=1 t=9644
neng chu ma 	能出嗎	c=1 d=1 t=197934
neng cong 	能從	c=5 d=1 t=299299
neng da kai 	能打開	c=3 d=0.1 t=340490
neng da kai ma 	能打開嗎	c=1 d=1 t=340491
neng dao 	能到	c=1 d=1 t=1222
neng fa 	能發	c=1 d=1 t=261713
neng fou 	能否	c=12 d=1 t=301219
neng fu yong 	能復用	c=1 d=1 t=139551
neng gai 	能改	c=3 d=1 t=304516
neng gei 	能給	c=6 d=1 t=322130
neng gei wo 	能給我	c=7 d=1 t=307019
neng gen 	能跟	c=4 d=1 t=269610
neng geng hao 	能更好	c=1 d=1 t=280804
neng gou 	能夠	c=2 d=1 t=205459
neng jie jue 	能解決	c=1 d=1 t=329474
neng kai piao 	能開票	c=2 d=1.74082 t=243387
neng kai shi 	能開始	c=1 d=1 t=169946
neng kan dao 	能看到	c=1 d=1 t=298829
neng kan dong 	能看懂	c=1 d=1 t=20396
neng kan le 	能看了	c=1 d=1 t=178808
neng lai 	能來	c=1 d=1 t=35743
neng li 	能力	c=44 d=1 t=348938
neng li bu xing 	能力不行	c=1 d=1 t=296405
neng li jie gou 	能力結構	c=1 d=1 t=25102
neng liang 	能量	c=2 d=1 t=325215
neng liang le 	能量了	c=1 d=1 t=11269
neng liu 	能留	c=1 d=1 t=47584
neng mai chu qu 	能賣出去	c=1 d=1 t=109220
neng man dian 	能慢點	c=1 d=1 t=133611
neng na ge 	能那個	c=1 d=1 t=199881
neng nai 	能耐	c=1 d=1 t=187986
neng pei zhi 	能配置	c=1 d=1 t=154023
neng pian yi 	能便宜	c=1 d=1 t=327288
neng qu 	能去	c=2 d=1 t=348845
neng rang 	能讓	c=2 d=1 t=221700
neng shi xian 	能實現	c=1 d=1 t=330604
neng shou 	能手	c=1 d=0.1 t=223222
neng shou dao 	能收到	c=2 d=1.56836 t=25213
neng wan cheng 	能完成	c=1 d=1 t=290778
neng wei hu 	能維護	c=1 d=1 t=32226
neng xiang dao 	能想到	c=1 d=1 t=59026
neng xing 	能行	c=5 d=1 t=328730
neng yong 	能用	c=35 d=1 t=340877
neng yong le 	能用了	c=2 d=1 t=328321
neng yong shang 	能用上	c=1 d=1 t=26441
neng you 	能有	c=3 d=1 t=243307
neng yuan 	能源	c=0 d=0.1 t=36863
neng zai 	能再	c=3 d=1 t=307658
neng zhu ce 	能註冊	c=1 d=1 t=320298
neng zuo 	能做	c=2 d=1 t=286524
neng zuo hao 	能做好	c=1 d=1 t=75225
ni 	你	c=1088 d=1.65023 t=352642
ni 	倪	c=1 d=1 t=287424
ni 	尼	c=5 d=1 t=330091
ni 	擬	c=4 d=1.00391 t=335508
ni 	泥	c=4 d=1 t=268205
ni ba 	你把	c=35 d=1 t=350725
ni ba 	你爸	c=1 d=1 t=8309
ni ban 	擬辦	c=1 d=1 t=157329
ni bang wo 	你幫我	c=1 d=1 t=122161
ni bi wo 	你比我	c=2 d=1 t=336838
ni bian 	逆變	c=1 d=1 t=36563
ni bie 	你別	c=5 d=1 t=175561
ni bie shuo 	你別說	c=1 d=1 t=69990
ni bu 	你不	c=7 d=1 t=333289
ni bu chi 	你不吃	c=1 d=1 t=277883
ni bu dei 	你不得	c=1 d=1 t=347318
ni bu dou 	你不都	c=1 d=1 t=258374
ni bu gao su wo 	你不告訴我	c=1 d=1 t=179141
ni bu ji de 	你不記得	c=1 d=1 t=47777
ni bu jue de 	你不覺得	c=2 d=1.7827 t=16984
ni bu kan 	你不看	c=1 d=1 t=165636
ni bu ke yi 	你不可以	c=1 d=1 t=80988
ni bu qu 	你不去	c=3 d=1 t=281914
ni bu shi 	你不是	c=31 d=1 t=352137
ni bu shu wan le 	你部署完了	c=1 d=1 t=157272
ni bu shuo 	你不說	c=1 d=1 t=16539
ni bu xiang 	你不想	c=1 d=1 t=271000
ni bu yong 	你不用	c=2 d=1 t=166454
ni bu zai 	你不在	c=1 d=1 t=62907
ni cai 	你猜	c=5 d=1.00001 t=151126
ni ce 	你冊	c=2 d=1 t=281841
ni ce shi 	你測試	c=1 d=1 t=328995
ni cha cha 	你查查	c=1 d=1 t=43173
ni cha shou 	你查收	c=3 d=1.93239 t=308084
ni cha shou xia 	你查收下	c=1 d=1 t=120844
ni cha xia 	你查下	c=1 d=1 t=289717
ni chang yong 	你常用	c=1 d=1 t=169188
ni cheng 	昵稱	c=3 d=1.48276 t=79576
ni cheng 	暱稱	c=3 d=1.90937 t=79300
ni chi 	你吃	c=1 d=1 t=226330
ni chi 	齯齒	c=1 d=1 t=226329
ni chi ba 	你吃吧	c=1 d=1 t=20412
ni chi de 	你吃得	c=1 d=1 t=192642
ni chi guo 	你吃過	c=1 d=1 t=60395
ni chu fa le 	你出發了	c=1 d=1 t=185352
ni da 	你打	c=1 d=1 t=261400
ni da fen 	你打分	c=1 d=1 t=307173
ni da gai 	你大概	c=1 d=1 t=213310
ni da kai 	你打開	c=4 d=1 t=227073
ni da kai zhe ge 	你打開這個	c=1 d=1 t=44601
ni da ting xia 	你打聽下	c=1 d=1 t=148743
ni da xue 	你大學	c=1 d=1 t=337000
ni dai le 	你帶了	c=1 d=1 t=106288
ni dan du 	你單獨	c=1 d=1 t=272788
ni dan du gen 	你單獨跟	c=1 d=1 t=245094
ni dang shi 	你當時	c=2 d=1 t=345316
ni dao 	你到	c=0 d=0.1 t=176912
ni dao lou xia 	你到樓下	c=1 d=1 t=176913
ni de 	你的	c=72 d=1 t=340935
ni dei 	你得	c=35 d=1 t=345979
ni deng lu 	你登錄	c=8 d=1 t=313406
ni deng lu xia 	你登錄下	c=2 d=1 t=306758
ni deng xia 	你燈下	c=1 d=1 t=63648
ni dian 	你點	c=3 d=1 t=335263
ni dian hua 	你電話	c=1 d=1 t=237383
ni dian kai 	你點開	c=1 d=1 t=40186
ni dian nao 	你電腦	c=4 d=1 t=203211
ni ding 	擬定	c=10 d=1 t=264956
ni dong 	你懂	c=1 d=1 t=313874
ni dong de 	你懂的	c=1 d=1 t=171967
ni dou 	你都	c=9 d=1 t=340790
ni dui 	你對	c=1 d=1 t=337870
ni duo shao 	你多少	c=2 d=1 t=341900
ni eh si 	你誒死	c=1 d=1 t=57118
ni er 	逆耳	c=1 d=1 t=296765
ni er zi 	你兒子	c=3 d=1.94176 t=282022
ni fa 	你發	c=8 d=1 t=347169
ni fa de 	你發的	c=1 d=1 t=11289
ni fa gei 	你發給	c=1 d=1 t=285535
ni fa gei wo 	你發給我	c=1 d=1 t=72526
ni fa wan le 	你發完了	c=1 d=1 t=120754
ni fa wo 	你發我	c=5 d=1 t=326745
ni fang zai 	你放在	c=1 d=1 t=269207
ni fen 	膩粉	c=1 d=1 t=193410
ni gai xia 	你改下	c=1 d=1 t=339045
ni gan 	你敢	c=1 d=1 t=34795
ni gan jue 	你感覺	c=1 d=1 t=186880
ni gang 	你剛	c=3 d=1 t=264558
ni gang cai 	你剛纔	c=1 d=1 t=136730
ni ge 	你個	c=8 d=1 t=286823
ni ge 	你哥	c=1 d=1 t=76180
ni gei 	你給	c=14 d=1 t=344727
ni gei de 	你給的	c=1 d=1 t=145918
ni gei ta 	你給他	c=2 d=1 t=186857
ni gei wo 	你給我	c=4 d=1 t=230488
ni gen 	你跟	c=26 d=1 t=352238
ni gen ta 	你跟他	c=3 d=1 t=256160
ni gen ta men 	你跟他們	c=1 d=1 t=304233
ni gen wo 	你跟我	c=4 d=1 t=253736
ni geng xin 	你更新	c=1 d=1 t=285304
ni gong si 	你公司	c=1 d=1 t=176447
ni gu an 	尼姑庵	c=0 d=0.1 t=45212
ni gu an chan 	尼姑庵鏟	c=1 d=1 t=45213
ni gua 	你掛	c=1 d=1 t=250754
ni guan li 	你管理	c=1 d=1 t=193060
ni gui mi 	你閨蜜	c=2 d=1 t=164747
ni guo min 	你過敏	c=1 d=1 t=287615
ni hai 	你還	c=6 d=1.00003 t=341047
ni hai bu 	你還不	c=3 d=1 t=264244
ni hai ji de 	你還記得	c=1 d=1 t=116453
ni hai ke yi 	你還可以	c=1 d=1 t=295644
ni hai qu 	你還去	c=1 d=1 t=335752
ni hai shi 	你還是	c=1 d=1 t=347734
ni hai shuo 	你還說	c=1 d=1 t=211038
ni hai you 	你還有	c=1 d=1 t=73037
ni hao 	你好	c=95 d=1 t=352219
ni hao dian 	你好點	c=1 d=1 t=201528
ni he 	你和	c=6 d=1 t=165731
ni he guo 	你喝過	c=1 d=1 t=7503
ni he tong 	你合同	c=1 d=1 t=46142
ni huan ge 	你換個	c=1 d=1 t=222069
ni hui 	你會	c=1 d=1 t=11089
ni hui jia 	你回家	c=1 d=1 t=176645
ni hui yi hui yi 	你回憶回憶	c=1 d=1 t=316777
ni ji dian 	你幾點	c=4 d=1 t=218885
ni ji hao 	你幾號	c=1 d=1 t=32720
ni ji lu 	你記錄	c=1 d=1 t=231701
ni jia 	你家	c=6 d=1 t=317071
ni jian yi 	你建議	c=1 d=1 t=33485
ni jie tu 	你截圖	c=3 d=1 t=320268
ni jie tu de 	你截圖的	c=1 d=1 t=66538
ni jin tian 	你今天	c=2 d=1 t=211017
ni jing chang 	你經常	c=1 d=1 t=294788
ni jiu 	你就	c=14 d=1.99501 t=350592
ni jiu shi 	你就是	c=1 d=1 t=61588
ni jiu shuo 	你就說	c=1 d=1 t=299176
ni jiu suan 	你就算	c=1 d=1 t=163744
